t(s),P=100mmHg,P=110mmHg,P=120mmHg,130mmHg,140mmHg,150mmHg,160mmHg,170mmHg,180mmHg
0,0.5,0.5,0.55543,0.61309,0.69948,0.74386,0.76068,0.84252,0.88995
0.1,0.5,0.50194,0.55628,0.61549,0.70101,0.74541,0.76169,0.84347,0.89042
0.2,0.5,0.504,0.55729,0.61796,0.70259,0.74699,0.76278,0.84446,0.89093
0.3,0.5,0.50617,0.55842,0.62049,0.70422,0.74862,0.76394,0.84547,0.89148
0.4,0.5,0.50841,0.55966,0.62306,0.70589,0.75026,0.76516,0.8465,0.89205
0.5,0.5,0.51072,0.56098,0.62566,0.70758,0.75192,0.76641,0.84755,0.89264
0.6,0.5,0.51306,0.56236,0.62827,0.70928,0.75359,0.76769,0.84861,0.89325
0.7,0.5,0.51542,0.56379,0.63089,0.71099,0.75526,0.76899,0.84967,0.89386
0.8,0.5,0.51779,0.56524,0.6335,0.71269,0.75692,0.77031,0.85074,0.89449
0.9,0.5,0.52016,0.56671,0.63611,0.71439,0.75858,0.77163,0.8518,0.89511
1,0.5,0.5225,0.56819,0.63869,0.71608,0.76023,0.77295,0.85287,0.89575
1.1,0.5,0.52481,0.56966,0.64126,0.71775,0.76187,0.77427,0.85393,0.89638
1.2,0.5,0.52708,0.57111,0.64379,0.7194,0.76349,0.77558,0.85498,0.89701
1.3,0.5,0.52931,0.57253,0.6463,0.72103,0.76509,0.77689,0.85603,0.89764
1.4,0.5,0.53148,0.57392,0.64877,0.72263,0.76667,0.77818,0.85706,0.89826
1.5,0.5,0.53358,0.57527,0.65119,0.72421,0.76823,0.77945,0.85809,0.89889
1.6,0.5,0.53562,0.57657,0.65358,0.72575,0.76976,0.78071,0.85911,0.8995
1.7,0.5,0.53758,0.57783,0.65592,0.72726,0.77127,0.78196,0.86012,0.90012
1.8,0.5,0.53946,0.57902,0.65822,0.72874,0.77275,0.78318,0.86112,0.90072
1.9,0.5,0.54126,0.58016,0.66046,0.73017,0.77421,0.78438,0.8621,0.90132
2,0.5,0.54297,0.58124,0.66265,0.73158,0.77564,0.78556,0.86308,0.90191
2.1,0.5,0.54459,0.58226,0.66479,0.73294,0.77703,0.78672,0.86404,0.9025
2.2,0.5,0.54613,0.58321,0.66687,0.73426,0.7784,0.78785,0.86499,0.90308
2.3,0.5,0.54758,0.58409,0.66889,0.73554,0.77974,0.78897,0.86592,0.90365
2.4,0.5,0.54893,0.58491,0.67086,0.73678,0.78105,0.79006,0.86684,0.90421
2.5,0.5,0.55019,0.58567,0.67277,0.73798,0.78233,0.79112,0.86775,0.90477
2.6,0.5,0.55136,0.58636,0.67462,0.73913,0.78357,0.79216,0.86865,0.90532
2.7,0.5,0.55245,0.58698,0.6764,0.74024,0.78479,0.79318,0.86953,0.90586
2.8,0.5,0.55344,0.58754,0.67813,0.74131,0.78597,0.79418,0.87039,0.90639
2.9,0.5,0.55436,0.58804,0.67979,0.74234,0.78712,0.79515,0.87125,0.90691
3,0.5,0.55518,0.58849,0.68139,0.74332,0.78824,0.7961,0.87209,0.90743
3.1,0.5,0.55593,0.58887,0.68294,0.74425,0.78932,0.79703,0.87291,0.90794
3.2,0.5,0.5566,0.5892,0.68442,0.74514,0.79038,0.79794,0.87372,0.90844
3.3,0.5,0.5572,0.58948,0.68583,0.74599,0.79139,0.79883,0.87452,0.90893
3.4,0.5,0.55773,0.58971,0.68719,0.74679,0.79238,0.79969,0.8753,0.90942
3.5,0.5,0.55818,0.58989,0.68849,0.74755,0.79334,0.80054,0.87607,0.9099
3.6,0.5,0.55858,0.59003,0.68973,0.74826,0.79426,0.80137,0.87683,0.91037
3.7,0.5,0.55892,0.59013,0.69091,0.74893,0.79515,0.80217,0.87757,0.91083
3.8,0.5,0.5592,0.5902,0.69203,0.74955,0.79601,0.80297,0.8783,0.91129
3.9,0.5,0.55943,0.59022,0.6931,0.75013,0.79683,0.80374,0.87901,0.91173
4,0.5,0.55961,0.59022,0.69411,0.75067,0.79762,0.8045,0.87971,0.91218
4.1,0.5,0.55978,0.59019,0.69507,0.75117,0.79839,0.80525,0.88039,0.91261
4.2,0.5,0.55997,0.59015,0.69599,0.75164,0.79913,0.80599,0.88107,0.91305
4.3,0.5,0.56016,0.5901,0.69685,0.75207,0.79984,0.80673,0.88174,0.91348
4.4,0.5,0.56038,0.59004,0.69767,0.75247,0.80053,0.80748,0.8824,0.91392
4.5,0.5,0.56062,0.58997,0.69845,0.75284,0.8012,0.80822,0.88305,0.91435
4.6,0.5,0.56088,0.58989,0.69918,0.75319,0.80185,0.80897,0.8837,0.91478
4.7,0.5,0.56118,0.58982,0.69988,0.75351,0.80247,0.80973,0.88433,0.91521
4.8,0.5,0.5615,0.58974,0.70053,0.7538,0.80307,0.81049,0.88496,0.91564
4.9,0.5,0.56186,0.58967,0.70114,0.75406,0.80365,0.81127,0.88558,0.91608
5,0.5,0.56224,0.5896,0.70172,0.7543,0.80421,0.81206,0.8862,0.91651
5.1,0.5,0.56266,0.58953,0.70226,0.75452,0.80475,0.81286,0.8868,0.91695
5.2,0.5,0.5631,0.58948,0.70276,0.75472,0.80527,0.81367,0.8874,0.91738
5.3,0.5,0.56357,0.58943,0.70324,0.75489,0.80577,0.8145,0.888,0.91782
5.4,0.5,0.56407,0.58939,0.70368,0.75505,0.80626,0.81534,0.88858,0.91826
5.5,0.5,0.56458,0.58935,0.70409,0.75518,0.80672,0.8162,0.88916,0.9187
5.6,0.5,0.56511,0.58933,0.70447,0.7553,0.80717,0.81708,0.88973,0.91914
5.7,0.5,0.56566,0.58932,0.70482,0.75539,0.8076,0.81797,0.8903,0.91958
5.8,0.5,0.56621,0.58932,0.70515,0.75546,0.80801,0.81887,0.89085,0.92002
5.9,0.5,0.56678,0.58933,0.70545,0.75552,0.80841,0.81978,0.8914,0.92046
6,0.5,0.56734,0.58935,0.70573,0.75555,0.80878,0.8207,0.89194,0.92091
6.1,0.5,0.56791,0.58939,0.70598,0.75557,0.80914,0.82164,0.89248,0.92135
6.2,0.5,0.56848,0.58943,0.70621,0.75557,0.80949,0.82258,0.893,0.92179
6.3,0.5,0.56904,0.58948,0.70642,0.75555,0.80981,0.82354,0.89352,0.92223
6.4,0.5,0.56959,0.58955,0.70662,0.75551,0.81012,0.82449,0.89403,0.92267
6.5,0.5,0.57014,0.58962,0.70679,0.75545,0.81042,0.82546,0.89454,0.92311
6.6,0.5,0.57067,0.5897,0.70695,0.75537,0.8107,0.82642,0.89504,0.92355
6.7,0.5,0.57119,0.5898,0.70709,0.75528,0.81096,0.82739,0.89552,0.92399
6.8,0.5,0.57169,0.5899,0.70722,0.75516,0.8112,0.82836,0.89601,0.92443
6.9,0.5,0.57218,0.59001,0.70733,0.75502,0.81143,0.82932,0.89648,0.92487
7,0.5,0.57265,0.59013,0.70742,0.75487,0.81165,0.83029,0.89694,0.9253
7.1,0.5,0.57309,0.59026,0.70751,0.75469,0.81185,0.83125,0.8974,0.92574
7.2,0.5,0.57352,0.5904,0.70758,0.7545,0.81203,0.83221,0.89785,0.92617
7.3,0.5,0.57393,0.59054,0.70764,0.75428,0.81219,0.83316,0.89829,0.9266
7.4,0.5,0.57431,0.59069,0.70769,0.75405,0.81235,0.8341,0.89873,0.92702
7.5,0.5,0.57467,0.59085,0.70773,0.75379,0.81248,0.83504,0.89916,0.92745
7.6,0.5,0.57501,0.59102,0.70776,0.75352,0.8126,0.83597,0.89958,0.92787
7.7,0.5,0.57532,0.5912,0.70777,0.75322,0.8127,0.83689,0.89999,0.92829
7.8,0.5,0.57562,0.59138,0.70779,0.7529,0.81279,0.8378,0.90039,0.9287
7.9,0.5,0.57589,0.59158,0.70779,0.75256,0.81286,0.83869,0.90079,0.92912
8,0.5,0.57613,0.59178,0.70778,0.75219,0.81292,0.83958,0.90118,0.92953
8.1,0.5,0.57636,0.59199,0.70777,0.75181,0.81296,0.84046,0.90156,0.92993
8.2,0.5,0.57656,0.59221,0.70775,0.7514,0.81298,0.84132,0.90194,0.93034
8.3,0.5,0.57674,0.59244,0.70772,0.75097,0.81299,0.84218,0.9023,0.93074
8.4,0.5,0.5769,0.59268,0.70768,0.75052,0.81298,0.84302,0.90266,0.93114
8.5,0.5,0.57704,0.59293,0.70764,0.75005,0.81295,0.84384,0.90301,0.93153
8.6,0.5,0.57716,0.59319,0.70758,0.74955,0.81291,0.84466,0.90336,0.93192
8.7,0.5,0.57726,0.59347,0.70753,0.74903,0.81285,0.84546,0.9037,0.93231
8.8,0.5,0.57734,0.59375,0.70746,0.74849,0.81278,0.84624,0.90403,0.93269
8.9,0.5,0.57741,0.59406,0.70739,0.74793,0.81268,0.84702,0.90435,0.93307
9,0.5,0.57745,0.59437,0.70731,0.74735,0.81257,0.84778,0.90467,0.93345
9.1,0.5,0.57748,0.5947,0.70722,0.74675,0.81245,0.84852,0.90498,0.93382
9.2,0.5,0.5775,0.59505,0.70713,0.74613,0.8123,0.84925,0.90528,0.93419
9.3,0.5,0.5775,0.59542,0.70702,0.74548,0.81214,0.84997,0.90557,0.93455
9.4,0.5,0.57748,0.59581,0.70691,0.74482,0.81196,0.85067,0.90586,0.93492
9.5,0.5,0.57745,0.59621,0.70679,0.74414,0.81176,0.85136,0.90614,0.93527
9.6,0.5,0.57741,0.59664,0.70666,0.74344,0.81155,0.85203,0.90642,0.93563
9.7,0.5,0.57735,0.59709,0.70652,0.74273,0.81131,0.85269,0.90669,0.93598
9.8,0.5,0.57729,0.59756,0.70638,0.742,0.81106,0.85334,0.90695,0.93632
9.9,0.5,0.5772,0.59805,0.70622,0.74125,0.81079,0.85397,0.9072,0.93667
10,0.5,0.57711,0.59858,0.70605,0.74049,0.8105,0.85459,0.90745,0.937
10.1,0.5,0.57701,0.59912,0.70587,0.73972,0.81019,0.85519,0.90769,0.93734
10.2,0.5,0.57689,0.5997,0.70567,0.73893,0.80986,0.85578,0.90793,0.93767
10.3,0.5,0.57676,0.6003,0.70547,0.73813,0.80951,0.85636,0.90815,0.938
10.4,0.5,0.57663,0.60093,0.70524,0.73732,0.80915,0.85692,0.90838,0.93832
10.5,0.5,0.57648,0.60159,0.70501,0.7365,0.80877,0.85747,0.90859,0.93864
10.6,0.5,0.57632,0.60228,0.70476,0.73568,0.80836,0.85801,0.9088,0.93895
10.7,0.5,0.57616,0.60299,0.70449,0.73485,0.80794,0.85853,0.909,0.93926
10.8,0.5,0.57598,0.60374,0.70421,0.73401,0.8075,0.85904,0.9092,0.93957
10.9,0.5,0.57579,0.60452,0.70391,0.73317,0.80704,0.85954,0.90939,0.93988
11,0.5,0.57559,0.60532,0.70359,0.73232,0.80657,0.86003,0.90957,0.94018
11.1,0.5,0.57539,0.60616,0.70326,0.73148,0.80607,0.8605,0.90975,0.94047
11.2,0.5,0.57517,0.60702,0.7029,0.73063,0.80556,0.86097,0.90992,0.94076
11.3,0.5,0.57495,0.60791,0.70252,0.72979,0.80503,0.86142,0.91009,0.94105
11.4,0.5,0.57471,0.60882,0.70212,0.72894,0.80448,0.86185,0.91025,0.94134
11.5,0.5,0.57447,0.60976,0.7017,0.7281,0.80392,0.86228,0.9104,0.94162
11.6,0.5,0.57421,0.61072,0.70125,0.72727,0.80334,0.8627,0.91055,0.9419
11.7,0.5,0.57395,0.6117,0.70078,0.72643,0.80274,0.8631,0.91069,0.94217
11.8,0.5,0.57368,0.6127,0.70029,0.72561,0.80213,0.86349,0.91082,0.94244
11.9,0.5,0.5734,0.61372,0.69977,0.72479,0.8015,0.86388,0.91095,0.94271
12,0.5,0.57311,0.61475,0.69922,0.72398,0.80086,0.86425,0.91108,0.94297
12.1,0.5,0.57281,0.61579,0.69865,0.72318,0.80021,0.86461,0.91119,0.94323
12.2,0.5,0.5725,0.61685,0.69805,0.72239,0.79955,0.86496,0.9113,0.94348
12.3,0.5,0.57218,0.61791,0.69742,0.72161,0.79887,0.8653,0.91141,0.94374
12.4,0.5,0.57185,0.61897,0.69677,0.72085,0.79818,0.86563,0.91151,0.94399
