t(s),P=100mmHg,P=110mmHg,P=120mmHg,P=130mmHg,P=140mmHg,P =150mmHg,P = 160mmHg,P =170mmHg,P=180mmHg
0,30,36,32.343,36.042,28.356,30.653,36.519,32.304,33.101
0.1,30,36.901,33.394,36.692,28.956,31.277,37.46,33.042,33.942
0.2,30,37.689,34.357,37.223,29.472,31.809,38.287,33.686,34.684
0.3,30,38.365,35.23,37.641,29.911,32.257,39.005,34.24,35.335
0.4,30,38.929,36.013,37.952,30.276,32.625,39.619,34.711,35.901
0.5,30,39.384,36.704,38.164,30.571,32.919,40.137,35.107,36.389
0.6,30,39.734,37.308,38.284,30.803,33.147,40.566,35.435,36.807
0.7,30,39.984,37.825,38.321,30.977,33.314,40.913,35.701,37.161
0.8,30,40.141,38.261,38.282,31.097,33.426,41.185,35.911,37.458
0.9,30,40.212,38.619,38.175,31.169,33.489,41.391,36.072,37.704
1,30,40.203,38.904,38.009,31.199,33.508,41.535,36.189,37.904
1.1,30,40.122,39.122,37.791,31.191,33.49,41.627,36.267,38.064
1.2,30,39.977,39.278,37.528,31.149,33.437,41.67,36.312,38.189
1.3,30,39.775,39.378,37.226,31.078,33.356,41.672,36.326,38.283
1.4,30,39.524,39.428,36.892,30.982,33.249,41.637,36.314,38.35
1.5,30,39.232,39.432,36.532,30.864,33.121,41.57,36.28,38.393
1.6,30,38.905,39.398,36.15,30.728,32.974,41.476,36.227,38.415
1.7,30,38.549,39.329,35.752,30.576,32.812,41.359,36.157,38.42
1.8,30,38.171,39.231,35.341,30.411,32.638,41.222,36.073,38.409
1.9,30,37.776,39.108,34.921,30.237,32.453,41.068,35.977,38.385
2,30,37.369,38.965,34.495,30.054,32.261,40.901,35.871,38.349
2.1,30,36.955,38.806,34.067,29.865,32.062,40.722,35.756,38.304
2.2,30,36.538,38.634,33.639,29.672,31.858,40.534,35.634,38.251
2.3,30,36.121,38.453,33.213,29.476,31.651,40.339,35.507,38.191
2.4,30,35.707,38.266,32.79,29.278,31.442,40.139,35.375,38.125
2.5,30,35.3,38.075,32.374,29.081,31.233,39.935,35.24,38.055
2.6,30,34.901,37.883,31.964,28.884,31.023,39.728,35.102,37.98
2.7,30,34.513,37.692,31.562,28.688,30.815,39.52,34.963,37.903
2.8,30,34.137,37.503,31.17,28.495,30.608,39.312,34.822,37.823
2.9,30,33.774,37.319,30.787,28.306,30.403,39.104,34.68,37.74
3,30,33.425,37.14,30.415,28.12,30.201,38.897,34.538,37.657
3.1,30,33.092,36.968,30.053,27.938,30.003,38.691,34.396,37.572
3.2,30,32.775,36.803,29.703,27.76,29.808,38.488,34.255,37.487
3.3,30,32.474,36.646,29.365,27.588,29.617,38.288,34.115,37.401
3.4,30,32.189,36.498,29.038,27.421,29.43,38.091,33.976,37.315
3.5,30,31.92,36.359,28.724,27.26,29.248,37.896,33.839,37.229
3.6,30,31.668,36.23,28.421,27.104,29.07,37.705,33.703,37.144
3.7,30,31.432,36.11,28.13,26.955,28.897,37.518,33.569,37.059
3.8,30,31.212,36,27.851,26.811,28.729,37.335,33.437,36.974
3.9,30,31.007,35.9,27.583,26.674,28.566,37.155,33.306,36.89
4,30,30.818,35.809,27.327,26.542,28.408,36.979,33.178,36.807
4.1,30,30.642,35.727,27.083,26.417,28.255,36.807,33.052,36.725
4.2,30,30.48,35.654,26.849,26.298,28.107,36.638,32.928,36.644
4.3,30,30.328,35.59,26.626,26.185,27.964,36.472,32.807,36.564
4.4,30,30.187,35.533,26.413,26.078,27.825,36.309,32.687,36.484
4.5,30,30.054,35.483,26.21,25.977,27.692,36.149,32.569,36.405
4.6,30,29.928,35.44,26.017,25.881,27.562,35.992,32.454,36.326
4.7,30,29.807,35.403,25.833,25.791,27.438,35.836,32.34,36.248
4.8,30,29.692,35.372,25.659,25.705,27.317,35.682,32.228,36.171
4.9,30,29.58,35.346,25.493,25.625,27.201,35.529,32.119,36.094
5,30,29.47,35.323,25.336,25.55,27.089,35.377,32.01,36.018
5.1,30,29.362,35.305,25.187,25.479,26.981,35.226,31.904,35.942
5.2,30,29.256,35.29,25.045,25.413,26.877,35.075,31.799,35.866
5.3,30,29.149,35.278,24.911,25.352,26.776,34.924,31.696,35.79
5.4,30,29.043,35.268,24.785,25.294,26.679,34.773,31.595,35.715
5.5,30,28.936,35.26,24.665,25.241,26.586,34.622,31.495,35.64
5.6,30,28.828,35.254,24.552,25.191,26.496,34.47,31.397,35.565
5.7,30,28.719,35.248,24.446,25.146,26.409,34.317,31.301,35.49
5.8,30,28.609,35.243,24.346,25.104,26.326,34.164,31.206,35.416
5.9,30,28.498,35.238,24.251,25.066,26.246,34.01,31.112,35.341
6,30,28.385,35.234,24.163,25.031,26.169,33.855,31.02,35.267
6.1,30,28.272,35.229,24.079,25,26.095,33.699,30.93,35.193
6.2,30,28.158,35.224,24.001,24.972,26.024,33.542,30.84,35.119
6.3,30,28.044,35.218,23.928,24.947,25.956,33.385,30.753,35.045
6.4,30,27.929,35.211,23.859,24.926,25.891,33.226,30.667,34.971
6.5,30,27.815,35.202,23.795,24.907,25.828,33.067,30.582,34.897
6.6,30,27.7,35.193,23.736,24.892,25.768,32.908,30.498,34.824
6.7,30,27.586,35.182,23.68,24.88,25.711,32.748,30.416,34.751
6.8,30,27.473,35.17,23.628,24.871,25.657,32.588,30.336,34.678
6.9,30,27.361,35.156,23.58,24.864,25.605,32.428,30.257,34.605
7,30,27.25,35.141,23.535,24.861,25.555,32.268,30.179,34.533
7.1,30,27.141,35.124,23.494,24.861,25.508,32.108,30.102,34.461
7.2,30,27.034,35.105,23.456,24.864,25.464,31.949,30.027,34.389
7.3,30,26.93,35.084,23.421,24.869,25.422,31.791,29.954,34.318
7.4,30,26.827,35.062,23.389,24.878,25.382,31.633,29.881,34.247
7.5,30,26.728,35.037,23.359,24.889,25.344,31.476,29.81,34.176
7.6,30,26.631,35.011,23.333,24.904,25.309,31.32,29.74,34.106
7.7,30,26.537,34.983,23.308,24.921,25.277,31.166,29.672,34.037
7.8,30,26.447,34.953,23.286,24.941,25.246,31.012,29.605,33.967
7.9,30,26.36,34.921,23.266,24.965,25.218,30.861,29.539,33.898
8,30,26.276,34.887,23.248,24.991,25.192,30.71,29.474,33.83
8.1,30,26.196,34.851,23.233,25.021,25.168,30.562,29.411,33.762
8.2,30,26.12,34.813,23.219,25.054,25.147,30.416,29.349,33.695
8.3,30,26.047,34.774,23.207,25.09,25.128,30.271,29.288,33.628
8.4,30,25.978,34.732,23.197,25.129,25.111,30.128,29.228,33.562
8.5,30,25.913,34.688,23.188,25.171,25.096,29.988,29.17,33.496
8.6,30,25.851,34.641,23.181,25.216,25.083,29.849,29.113,33.431
8.7,30,25.794,34.593,23.176,25.265,25.073,29.713,29.056,33.367
8.8,30,25.74,34.542,23.172,25.317,25.065,29.579,29.002,33.303
8.9,30,25.69,34.488,23.169,25.372,25.059,29.448,28.948,33.24
9,30,25.643,34.433,23.168,25.431,25.056,29.318,28.895,33.177
9.1,30,25.6,34.374,23.168,25.493,25.054,29.191,28.844,33.115
9.2,30,25.561,34.313,23.17,25.558,25.055,29.067,28.794,33.054
9.3,30,25.525,34.248,23.172,25.627,25.058,28.945,28.745,32.993
9.4,30,25.493,34.181,23.177,25.699,25.064,28.825,28.697,32.933
9.5,30,25.464,34.111,23.182,25.774,25.071,28.708,28.65,32.874
9.6,30,25.439,34.037,23.189,25.853,25.081,28.593,28.604,32.815
9.7,30,25.417,33.959,23.197,25.935,25.094,28.48,28.559,32.757
9.8,30,25.398,33.878,23.206,26.021,25.109,28.37,28.515,32.7
9.9,30,25.382,33.793,23.217,26.11,25.126,28.262,28.473,32.643
10,30,25.369,33.704,23.229,26.202,25.146,28.157,28.431,32.587
10.1,30,25.359,33.611,23.242,26.297,25.168,28.054,28.39,32.532
10.2,30,25.352,33.513,23.257,26.396,25.192,27.954,28.351,32.477
10.3,30,25.347,33.411,23.273,26.497,25.219,27.856,28.312,32.423
10.4,30,25.346,33.305,23.291,26.602,25.249,27.76,28.275,32.37
10.5,30,25.347,33.193,23.311,26.709,25.281,27.666,28.238,32.317
10.6,30,25.351,33.076,23.332,26.82,25.315,27.575,28.202,32.265
10.7,30,25.357,32.955,23.354,26.933,25.353,27.486,28.168,32.214
10.8,30,25.366,32.828,23.379,27.049,25.392,27.399,28.134,32.163
10.9,30,25.377,32.696,23.405,27.168,25.435,27.314,28.101,32.114
11,30,25.391,32.559,23.434,27.289,25.48,27.231,28.069,32.064
11.1,30,25.407,32.417,23.464,27.412,25.527,27.151,28.039,32.016
11.2,30,25.425,32.269,23.497,27.537,25.578,27.072,28.009,31.968
11.3,30,25.446,32.116,23.531,27.665,25.631,26.996,27.979,31.92
11.4,30,25.469,31.958,23.569,27.794,25.686,26.922,27.951,31.874
11.5,30,25.494,31.796,23.608,27.926,25.744,26.849,27.924,31.828
11.6,30,25.521,31.628,23.651,28.058,25.805,26.779,27.898,31.782
11.7,30,25.55,31.456,23.695,28.193,25.869,26.71,27.872,31.737
11.8,30,25.582,31.279,23.743,28.328,25.935,26.643,27.847,31.693
11.9,30,25.616,31.098,23.794,28.465,26.004,26.579,27.824,31.65
12,30,25.652,30.913,23.848,28.603,26.075,26.515,27.801,31.607
12.1,30,25.69,30.725,23.905,28.741,26.149,26.454,27.779,31.564
12.2,30,25.73,30.534,23.965,28.88,26.226,26.394,27.757,31.523
12.3,30,25.772,30.34,24.029,29.019,26.305,26.336,27.737,31.482
12.4,30,25.816,30.143,24.096,29.159,26.387,26.28,27.717,31.441
12.5,30,25.863,29.945,24.167,29.299,26.471,26.225,27.699,31.401
12.6,30,25.911,29.744,24.242,29.438,26.557,26.172,27.681,31.362
12.7,30,25.962,29.543,24.32,29.578,26.646,26.121,27.664,31.323
12.8,30,26.014,29.341,24.403,29.717,26.736,26.071,27.647,31.285
12.9,30,26.069,29.138,24.49,29.855,26.83,26.022,27.632,31.247
13,30,26.126,28.936,24.58,29.993,26.925,25.975,27.617,31.21
13.1,30,26.184,28.734,24.676,30.129,27.022,25.929,27.603,31.174
13.2,30,26.245,28.534,24.775,30.265,27.121,25.885,27.59,31.138
13.3,30,26.308,28.334,24.879,30.399,27.222,25.842,27.578,31.102
13.4,30,26.373,28.136,24.987,30.532,27.325,25.8,27.566,31.068
13.5,30,26.439,27.941,25.1,30.664,27.429,25.76,27.556,31.033
13.6,30,26.508,27.747,25.217,30.793,27.535,25.721,27.546,30.999
13.7,30,26.579,27.557,25.339,30.922,27.643,25.683,27.537,30.966
13.8,30,26.651,27.369,25.465,31.048,27.751,25.646,27.528,30.933
13.9,30,26.726,27.185,25.595,31.172,27.861,25.611,27.521,30.901
14,30,26.802,27.005,25.73,31.294,27.973,25.576,27.514,30.869
14.1,30,26.88,26.828,25.869,31.414,28.085,25.543,27.508,30.838
14.2,30,26.96,26.656,26.013,31.532,28.198,25.511,27.502,30.807
14.3,30,27.042,26.487,26.16,31.648,28.311,25.48,27.498,30.777
14.4,30,27.126,26.323,26.312,31.761,28.426,25.45,27.494,30.747
14.5,30,27.211,26.164,26.467,31.871,28.54,25.422,27.491,30.717
14.6,30,27.298,26.009,26.626,31.979,28.655,25.394,27.488,30.689
14.7,30,27.386,25.859,26.789,32.085,28.771,25.367,27.487,30.66
14.8,30,27.476,25.714,26.955,32.187,28.886,25.341,27.486,30.632
14.9,30,27.568,25.574,27.125,32.287,29.002,25.317,27.486,30.604
15,30,27.661,25.439,27.297,32.385,29.117,25.293,27.486,30.577
15.1,30,27.755,25.308,27.473,32.48,29.233,25.27,27.488,30.55
15.2,30,27.85,25.183,27.65,32.572,29.347,25.248,27.49,30.524
15.3,30,27.947,25.062,27.831,32.661,29.462,25.227,27.493,30.498
15.4,30,28.045,24.946,28.013,32.747,29.575,25.207,27.496,30.473
15.5,30,28.144,24.836,28.197,32.831,29.688,25.188,27.5,30.448
15.6,30,28.244,24.73,28.383,32.912,29.801,25.17,27.505,30.423
15.7,30,28.345,24.628,28.57,32.99,29.912,25.152,27.511,30.399
15.8,30,28.447,24.532,28.758,33.065,30.022,25.136,27.517,30.375
15.9,30,28.549,24.44,28.947,33.138,30.131,25.12,27.525,30.351
16,30,28.652,24.353,29.136,33.208,30.239,25.105,27.532,30.328
16.1,30,28.756,24.27,29.326,33.275,30.346,25.091,27.541,30.305
16.2,30,28.86,24.191,29.515,33.34,30.451,25.078,27.55,30.283
16.3,30,28.964,24.116,29.704,33.402,30.555,25.066,27.56,30.261
16.4,30,29.069,24.046,29.892,33.461,30.658,25.055,27.57,30.239
16.5,30,29.174,23.98,30.079,33.518,30.758,25.044,27.581,30.218
16.6,30,29.279,23.917,30.266,33.572,30.857,25.034,27.593,30.197
16.7,30,29.384,23.859,30.45,33.624,30.955,25.026,27.606,30.177
16.8,30,29.489,23.804,30.633,33.673,31.05,25.018,27.619,30.156
16.9,30,29.594,23.752,30.814,33.72,31.144,25.011,27.633,30.137
17,30,29.699,23.704,30.993,33.764,31.236,25.005,27.647,30.117
17.1,30,29.803,23.66,31.169,33.806,31.326,24.999,27.662,30.098
17.2,30,29.906,23.618,31.343,33.846,31.414,24.995,27.678,30.079
17.3,30,30.01,23.58,31.513,33.883,31.5,24.992,27.694,30.06
17.4,30,30.112,23.544,31.681,33.918,31.583,24.989,27.711,30.042
17.5,30,30.214,23.512,31.846,33.951,31.665,24.988,27.729,30.024
17.6,30,30.315,23.482,32.007,33.982,31.745,24.987,27.747,30.007
17.7,30,30.415,23.455,32.164,34.01,31.823,24.988,27.766,29.989
17.8,30,30.514,23.431,32.318,34.036,31.898,24.989,27.785,29.973
17.9,30,30.612,23.409,32.468,34.06,31.972,24.992,27.805,29.956
18,30,30.71,23.39,32.614,34.082,32.043,24.996,27.826,29.94
18.1,30,30.806,23.373,32.757,34.102,32.112,25.001,27.847,29.924
18.2,30,30.9,23.358,32.895,34.12,32.179,25.007,27.869,29.908
18.3,30,30.994,23.346,33.029,34.136,32.244,25.015,27.891,29.893
18.4,30,31.087,23.335,33.159,34.149,32.307,25.024,27.914,29.878
18.5,30,31.178,23.327,33.284,34.161,32.367,25.034,27.938,29.863
18.6,30,31.267,23.321,33.406,34.171,32.426,25.045,27.962,29.848
18.7,30,31.356,23.317,33.523,34.179,32.482,25.058,27.987,29.834
18.8,30,31.443,23.315,33.636,34.184,32.536,25.073,28.013,29.82
18.9,30,31.529,23.315,33.744,34.188,32.588,25.089,28.039,29.807
19,30,31.613,23.317,33.849,34.19,32.638,25.107,28.066,29.794
19.1,30,31.696,23.321,33.949,34.19,32.686,25.127,28.094,29.781
19.2,30,31.778,23.328,34.045,34.187,32.732,25.149,28.122,29.768
19.3,30,31.859,23.336,34.137,34.183,32.776,25.172,28.152,29.756
19.4,30,31.938,23.346,34.225,34.177,32.818,25.198,28.181,29.744
19.5,30,32.016,23.358,34.309,34.169,32.858,25.225,28.212,29.732
19.6,30,32.093,23.372,34.39,34.159,32.896,25.255,28.244,29.721
19.7,30,32.169,23.389,34.466,34.147,32.932,25.287,28.276,29.71
19.8,30,32.244,23.408,34.538,34.133,32.966,25.322,28.309,29.699
19.9,30,32.318,23.429,34.607,34.118,32.999,25.359,28.343,29.689
20,30,32.391,23.452,34.673,34.1,33.029,25.398,28.378,29.679
20.1,30,32.464,23.478,34.735,34.08,33.058,25.44,28.413,29.669
20.2,30,32.535,23.506,34.793,34.059,33.085,25.485,28.45,29.659
20.3,30,32.606,23.537,34.849,34.036,33.11,25.533,28.488,29.65
20.4,30,32.676,23.571,34.901,34.011,33.134,25.583,28.526,29.642
20.5,30,32.746,23.607,34.95,33.984,33.156,25.636,28.565,29.633
20.6,30,32.815,23.647,34.996,33.955,33.177,25.693,28.606,29.625
20.7,30,32.884,23.689,35.04,33.925,33.196,25.752,28.647,29.617
20.8,30,32.952,23.735,35.08,33.893,33.214,25.815,28.689,29.61
20.9,30,33.02,23.784,35.118,33.859,33.23,25.881,28.733,29.603
21,30,33.088,23.837,35.154,33.824,33.245,25.95,28.777,29.596
21.1,30,33.156,23.893,35.187,33.787,33.259,26.022,28.822,29.59
21.2,30,33.223,23.953,35.218,33.749,33.271,26.098,28.868,29.584
21.3,30,33.29,24.017,35.247,33.71,33.282,26.177,28.915,29.578
21.4,30,33.357,24.085,35.274,33.669,33.292,26.259,28.963,29.573
21.5,30,33.424,24.157,35.298,33.626,33.301,26.344,29.012,29.568
21.6,30,33.49,24.233,35.321,33.583,33.309,26.432,29.062,29.563
21.7,30,33.557,24.314,35.342,33.538,33.316,26.524,29.113,29.559
21.8,30,33.623,24.399,35.362,33.492,33.322,26.618,29.165,29.555
21.9,30,33.688,24.489,35.38,33.445,33.327,26.716,29.217,29.551
22,30,33.753,24.584,35.396,33.397,33.331,26.817,29.271,29.548
22.1,30,33.818,24.683,35.411,33.347,33.334,26.92,29.325,29.545
22.2,30,33.882,24.788,35.425,33.297,33.337,27.026,29.38,29.543
22.3,30,33.946,24.897,35.437,33.245,33.338,27.135,29.435,29.541
22.4,30,34.009,25.011,35.448,33.193,33.339,27.246,29.492,29.54
22.5,30,34.071,25.131,35.458,33.139,33.339,27.36,29.548,29.538
22.6,30,34.132,25.255,35.467,33.084,33.339,27.475,29.606,29.538
22.7,30,34.192,25.384,35.475,33.028,33.337,27.593,29.664,29.537
22.8,30,34.252,25.519,35.482,32.971,33.335,27.713,29.722,29.537
22.9,30,34.31,25.658,35.488,32.913,33.333,27.834,29.781,29.538
23,30,34.366,25.803,35.493,32.853,33.329,27.957,29.841,29.538
23.1,30,34.421,25.952,35.498,32.793,33.325,28.082,29.9,29.54
23.2,30,34.475,26.106,35.501,32.731,33.32,28.207,29.96,29.541
23.3,30,34.527,26.265,35.503,32.667,33.315,28.334,30.02,29.543
23.4,30,34.577,26.429,35.505,32.602,33.309,28.462,30.08,29.546
23.5,30,34.626,26.597,35.506,32.536,33.302,28.59,30.141,29.549
23.6,30,34.672,26.769,35.505,32.468,33.294,28.719,30.201,29.552
23.7,30,34.716,26.946,35.504,32.399,33.285,28.848,30.262,29.556
23.8,30,34.758,27.126,35.502,32.328,33.276,28.977,30.322,29.56
23.9,30,34.798,27.31,35.499,32.255,33.266,29.106,30.383,29.565
24,30,34.835,27.498,35.495,32.18,33.254,29.235,30.443,29.57
24.1,30,34.87,27.689,35.49,32.103,33.242,29.364,30.503,29.575
24.2,30,34.902,27.882,35.485,32.025,33.229,29.492,30.563,29.581
24.3,30,34.932,28.079,35.477,31.944,33.215,29.62,30.623,29.588
24.4,30,34.958,28.278,35.469,31.862,33.2,29.746,30.682,29.595
24.5,30,34.982,28.479,35.46,31.777,33.184,29.872,30.741,29.602
24.6,30,35.003,28.682,35.449,31.69,33.167,29.997,30.799,29.61
24.7,30,35.021,28.886,35.437,31.601,33.148,30.12,30.857,29.618
24.8,30,35.036,29.092,35.424,31.51,33.128,30.243,30.915,29.626
24.9,30,35.048,29.299,35.409,31.417,33.107,30.363,30.972,29.635
25,30,35.057,29.506,35.392,31.321,33.085,30.483,31.028,29.645
25.1,30,35.062,29.714,35.374,31.224,33.061,30.6,31.084,29.655
25.2,30,35.065,29.921,35.354,31.124,33.036,30.716,31.14,29.665
25.3,30,35.064,30.128,35.332,31.022,33.01,30.831,31.194,29.676
25.4,30,35.059,30.334,35.308,30.918,32.981,30.943,31.248,29.687
25.5,30,35.052,30.54,35.282,30.812,32.952,31.053,31.301,29.699
25.6,30,35.041,30.744,35.254,30.705,32.92,31.161,31.354,29.711
25.7,30,35.026,30.946,35.223,30.595,32.887,31.268,31.405,29.724
25.8,30,35.008,31.146,35.19,30.483,32.853,31.372,31.456,29.737
25.9,30,34.987,31.344,35.154,30.37,32.816,31.474,31.506,29.75
26,30,34.962,31.54,35.115,30.256,32.778,31.574,31.555,29.764
26.1,30,34.933,31.733,35.074,30.14,32.737,31.671,31.604,29.778
26.2,30,34.901,31.922,35.029,30.022,32.695,31.767,31.651,29.793
26.3,30,34.865,32.109,34.981,29.903,32.651,31.86,31.698,29.808
26.4,30,34.826,32.292,34.93,29.784,32.605,31.95,31.743,29.824
26.5,30,34.783,32.471,34.875,29.663,32.557,32.039,31.788,29.84
26.6,30,34.736,32.647,34.816,29.542,32.507,32.125,31.831,29.856
26.7,30,34.685,32.818,34.753,29.42,32.455,32.209,31.874,29.873
26.8,30,34.631,32.985,34.686,29.297,32.4,32.291,31.916,29.89
26.9,30,34.572,33.148,34.615,29.174,32.344,32.37,31.957,29.907
27,30,34.51,33.306,34.539,29.051,32.285,32.447,31.997,29.925
27.1,30,34.444,33.46,34.459,28.928,32.224,32.522,32.035,29.944
27.2,30,34.373,33.609,34.374,28.805,32.161,32.595,32.073,29.962
27.3,30,34.299,33.753,34.284,28.683,32.096,32.665,32.11,29.981
27.4,30,34.22,33.893,34.189,28.56,32.029,32.734,32.146,30.001
27.5,30,34.138,34.027,34.089,28.439,31.959,32.8,32.18,30.02
27.6,30,34.051,34.157,33.984,28.318,31.888,32.864,32.214,30.04
27.7,30,33.959,34.282,33.873,28.198,31.814,32.925,32.246,30.061
27.8,30,33.863,34.402,33.756,28.078,31.738,32.985,32.278,30.081
27.9,30,33.763,34.517,33.634,27.96,31.66,33.043,32.308,30.102
28,30,33.659,34.627,33.507,27.844,31.58,33.099,32.338,30.124
28.1,30,33.55,34.732,33.374,27.728,31.498,33.152,32.366,30.145
28.2,30,33.436,34.833,33.235,27.614,31.414,33.204,32.393,30.167
28.3,30,33.318,34.929,33.091,27.502,31.328,33.254,32.42,30.189
28.4,30,33.195,35.02,32.941,27.391,31.24,33.302,32.445,30.212
28.5,30,33.068,35.107,32.786,27.282,31.151,33.348,32.469,30.234
28.6,30,32.936,35.189,32.626,27.174,31.059,33.392,32.492,30.257
28.7,30,32.8,35.267,32.461,27.069,30.966,33.435,32.514,30.28
28.8,30,32.66,35.341,32.291,26.965,30.872,33.476,32.535,30.303
28.9,30,32.515,35.41,32.117,26.864,30.776,33.515,32.554,30.327
29,30,32.366,35.476,31.938,26.765,30.679,33.552,32.573,30.351
29.1,30,32.213,35.538,31.755,26.667,30.58,33.588,32.591,30.375
29.2,30,32.055,35.596,31.569,26.572,30.48,33.622,32.607,30.399
29.3,30,31.894,35.65,31.379,26.48,30.379,33.654,32.622,30.423
29.4,30,31.729,35.701,31.186,26.389,30.278,33.685,32.637,30.447
29.5,30,31.561,35.748,30.991,26.301,30.175,33.715,32.65,30.472
29.6,30,31.39,35.792,30.793,26.215,30.071,33.743,32.662,30.496
29.7,30,31.215,35.833,30.593,26.131,29.967,33.769,32.673,30.521
29.8,30,31.038,35.87,30.392,26.05,29.863,33.794,32.683,30.546
29.9,30,30.858,35.905,30.19,25.972,29.758,33.818,32.692,30.571
30,30,30.675,35.937,29.988,25.895,29.652,33.84,32.7,30.595
30.1,30,30.491,35.967,29.785,25.821,29.547,33.861,32.707,30.62
30.2,30,30.306,35.993,29.582,25.75,29.441,33.88,32.712,30.646
30.3,30,30.119,36.018,29.38,25.681,29.336,33.898,32.717,30.671
30.4,30,29.931,36.039,29.179,25.614,29.23,33.915,32.72,30.696
30.5,30,29.742,36.059,28.979,25.55,29.125,33.93,32.723,30.721
30.6,30,29.553,36.076,28.781,25.488,29.02,33.945,32.724,30.746
30.7,30,29.364,36.092,28.585,25.428,28.916,33.958,32.724,30.771
30.8,30,29.175,36.105,28.391,25.371,28.812,33.969,32.724,30.796
30.9,30,28.988,36.116,28.2,25.316,28.709,33.98,32.722,30.821
31,30,28.801,36.126,28.011,25.264,28.606,33.989,32.719,30.846
31.1,30,28.615,36.133,27.826,25.214,28.505,33.997,32.715,30.871
31.2,30,28.431,36.139,27.644,25.166,28.404,34.004,32.709,30.896
31.3,30,28.249,36.144,27.466,25.121,28.304,34.01,32.703,30.921
31.4,30,28.069,36.147,27.291,25.078,28.206,34.014,32.696,30.946
31.5,30,27.892,36.148,27.12,25.037,28.108,34.017,32.687,30.97
31.6,30,27.718,36.148,26.953,24.998,28.012,34.019,32.678,30.995
31.7,30,27.546,36.146,26.791,24.962,27.917,34.02,32.667,31.019
31.8,30,27.378,36.143,26.633,24.928,27.823,34.02,32.656,31.043
31.9,30,27.213,36.138,26.479,24.897,27.731,34.018,32.643,31.068
32,30,27.051,36.132,26.329,24.867,27.64,34.015,32.629,31.092
32.1,30,26.894,36.125,26.185,24.84,27.551,34.011,32.615,31.115
32.2,30,26.74,36.117,26.044,24.815,27.463,34.006,32.599,31.139
32.3,30,26.591,36.107,25.908,24.792,27.377,34,32.582,31.162
32.4,30,26.445,36.096,25.777,24.772,27.293,33.992,32.564,31.186
32.5,30,26.304,36.083,25.651,24.753,27.21,33.983,32.545,31.209
32.6,30,26.167,36.069,25.528,24.737,27.129,33.973,32.525,31.231
32.7,30,26.035,36.054,25.411,24.723,27.05,33.961,32.504,31.254
32.8,30,25.907,36.038,25.298,24.711,26.972,33.949,32.482,31.276
32.9,30,25.783,36.02,25.189,24.702,26.896,33.935,32.459,31.298
33,30,25.665,36,25.085,24.695,26.822,33.919,32.435,31.32
33.1,30,25.55,35.979,24.985,24.689,26.75,33.902,32.409,31.342
33.2,30,25.44,35.957,24.889,24.687,26.68,33.884,32.383,31.363
33.3,30,25.335,35.933,24.798,24.686,26.612,33.865,32.356,31.384
33.4,30,25.234,35.908,24.711,24.687,26.545,33.844,32.328,31.405
33.5,30,25.138,35.881,24.627,24.691,26.48,33.821,32.299,31.425
33.6,30,25.046,35.852,24.548,24.697,26.417,33.797,32.27,31.446
33.7,30,24.958,35.821,24.472,24.706,26.356,33.772,32.239,31.465
33.8,30,24.875,35.788,24.401,24.717,26.297,33.745,32.207,31.485
33.9,30,24.796,35.754,24.333,24.73,26.24,33.716,32.174,31.504
34,30,24.721,35.717,24.268,24.745,26.185,33.686,32.141,31.523
34.1,30,24.651,35.678,24.207,24.763,26.131,33.654,32.107,31.542
34.2,30,24.584,35.637,24.149,24.784,26.08,33.621,32.071,31.56
34.3,30,24.522,35.593,24.095,24.806,26.03,33.586,32.035,31.578
34.4,30,24.463,35.546,24.044,24.832,25.982,33.549,31.999,31.596
34.5,30,24.408,35.497,23.996,24.859,25.936,33.51,31.961,31.613
34.6,30,24.356,35.445,23.951,24.89,25.892,33.47,31.923,31.63
34.7,30,24.309,35.39,23.908,24.923,25.85,33.428,31.884,31.646
34.8,30,24.265,35.332,23.869,24.958,25.81,33.384,31.844,31.662
34.9,30,24.224,35.27,23.833,24.996,25.771,33.338,31.803,31.678
35,30,24.187,35.205,23.799,25.037,25.735,33.29,31.762,31.694
35.1,30,24.153,35.136,23.767,25.081,25.7,33.241,31.72,31.709
35.2,30,24.122,35.064,23.739,25.127,25.667,33.189,31.678,31.723
35.3,30,24.094,34.987,23.712,25.176,25.636,33.136,31.635,31.738
35.4,30,24.069,34.906,23.688,25.228,25.607,33.08,31.591,31.752
35.5,30,24.047,34.82,23.667,25.283,25.58,33.023,31.547,31.765
35.6,30,24.029,34.73,23.647,25.34,25.555,32.964,31.502,31.778
35.7,30,24.012,34.634,23.63,25.401,25.531,32.903,31.457,31.791
35.8,30,23.999,34.534,23.615,25.464,25.509,32.839,31.411,31.803
35.9,30,23.989,34.429,23.602,25.531,25.489,32.774,31.365,31.815
36,30,23.981,34.318,23.591,25.6,25.472,32.707,31.318,31.827
36.1,30,23.975,34.202,23.582,25.672,25.455,32.638,31.271,31.838
36.2,30,23.972,34.08,23.575,25.747,25.441,32.567,31.224,31.848
36.3,30,23.972,33.952,23.57,25.825,25.429,32.494,31.176,31.859
36.4,30,23.974,33.818,23.567,25.906,25.418,32.419,31.129,31.868
36.5,30,23.979,33.678,23.566,25.99,25.41,32.343,31.08,31.878
36.6,30,23.986,33.532,23.567,26.076,25.403,32.265,31.032,31.887
36.7,30,23.995,33.38,23.57,26.166,25.398,32.184,30.983,31.896
