t(s),P=100mmHg,P=110mmHg,P=120mmHg,P=130mmHg,P=140mmHg,P =150mmHg,P = 160mmHg,P =170mmHg,P=180mmHg
0,32.326,32.326,25.726,43.898,39.196,39.495,28.299,36.347,31.666
0.1,32.326,32.456,25.714,44.118,39.109,39.491,28.468,36.41,31.744
0.2,32.326,32.601,25.713,44.347,39.032,39.497,28.655,36.486,31.837
0.3,32.326,32.76,25.723,44.581,38.963,39.511,28.857,36.573,31.942
0.4,32.326,32.93,25.743,44.818,38.901,39.531,29.075,36.668,32.058
0.5,32.326,33.109,25.772,45.055,38.843,39.555,29.305,36.771,32.185
0.6,32.326,33.297,25.808,45.289,38.789,39.582,29.548,36.88,32.32
0.7,32.326,33.49,25.851,45.517,38.738,39.611,29.802,36.993,32.462
0.8,32.326,33.687,25.899,45.738,38.687,39.64,30.066,37.109,32.611
0.9,32.326,33.887,25.953,45.95,38.637,39.669,30.339,37.228,32.765
1,32.326,34.088,26.011,46.151,38.586,39.696,30.619,37.348,32.925
1.1,32.326,34.289,26.072,46.34,38.535,39.72,30.906,37.468,33.088
1.2,32.326,34.487,26.136,46.516,38.481,39.742,31.2,37.589,33.255
1.3,32.326,34.683,26.202,46.678,38.425,39.76,31.498,37.708,33.425
1.4,32.326,34.874,26.27,46.825,38.365,39.774,31.802,37.826,33.597
1.5,32.326,35.061,26.34,46.956,38.303,39.784,32.108,37.942,33.771
1.6,32.326,35.241,26.41,47.072,38.237,39.788,32.418,38.056,33.947
1.7,32.326,35.415,26.48,47.172,38.168,39.788,32.731,38.167,34.123
1.8,32.326,35.582,26.551,47.256,38.094,39.782,33.045,38.276,34.301
1.9,32.326,35.741,26.621,47.324,38.017,39.772,33.361,38.381,34.479
2,32.326,35.892,26.692,47.376,37.935,39.755,33.677,38.482,34.658
2.1,32.326,36.035,26.762,47.413,37.849,39.733,33.994,38.58,34.836
2.2,32.326,36.169,26.831,47.434,37.759,39.706,34.311,38.674,35.015
2.3,32.326,36.295,26.9,47.44,37.665,39.673,34.628,38.765,35.193
2.4,32.326,36.412,26.969,47.431,37.567,39.634,34.944,38.851,35.371
2.5,32.326,36.521,27.037,47.408,37.465,39.591,35.258,38.934,35.548
2.6,32.326,36.622,27.105,47.372,37.358,39.542,35.572,39.012,35.725
2.7,32.326,36.714,27.172,47.322,37.248,39.487,35.884,39.087,35.901
2.8,32.326,36.798,27.239,47.259,37.135,39.428,36.193,39.157,36.076
2.9,32.326,36.874,27.306,47.184,37.018,39.363,36.501,39.223,36.25
3,32.326,36.943,27.373,47.097,36.897,39.294,36.806,39.286,36.423
3.1,32.326,37.005,27.441,46.999,36.773,39.22,37.108,39.344,36.595
3.2,32.326,37.06,27.509,46.89,36.646,39.142,37.408,39.398,36.766
3.3,32.326,37.108,27.578,46.771,36.517,39.059,37.705,39.449,36.936
3.4,32.326,37.15,27.648,46.642,36.384,38.972,37.998,39.495,37.104
3.5,32.326,37.186,27.719,46.504,36.249,38.881,38.288,39.538,37.272
3.6,32.326,37.216,27.791,46.357,36.111,38.786,38.574,39.577,37.438
3.7,32.326,37.242,27.865,46.203,35.972,38.687,38.857,39.612,37.603
3.8,32.326,37.262,27.941,46.04,35.83,38.585,39.135,39.643,37.766
3.9,32.326,37.278,28.02,45.871,35.686,38.48,39.41,39.671,37.928
